"地域別等","漁業経営体数経営体","漁船_計_隻","漁船_無動力_隻漁船隻数隻","漁船_船外機付漁船隻数＿隻","漁船_動力漁船隻数_隻","漁船_動力漁船_トン数_T","11月１日現在の海上作業従事者_計_人","11月１日現在の海上作業従事者_家族_小計_人","11月１日現在の海上作業従事者_家族_男_人","11月１日現在の海上作業従事者_家族_女_人","11月１日現在の海上作業従事者_雇用者_人","陸上作業最盛期の陸上作業従事者数_計_人","陸上作業最盛期の陸上作業従事者数_計_男_人","陸上作業最盛期の陸上作業従事者数_計_女_人","陸上作業最盛期の陸上作業従事者数_家族_小計_人","陸上作業最盛期の陸上作業従事者数_家族_男_人","陸上作業最盛期の陸上作業従事者数_家族_女_人","陸上作業最盛期の陸上作業従事者数_雇用者_小計_人","陸上作業最盛期の陸上作業従事者数_雇用者_男_人","陸上作業最盛期の陸上作業従事者数_雇用者_女_人","新規就業者_計_人","新規就業者_個人経営体の自営漁業のみ_人","新規就業者_個人経営体の自営漁業のみ_うち11月１日現在の海上作業従事者_人","新規就業者_漁業雇われ_人"
"和歌山県（太平洋南区）_新宮市","41.0","51.0","4.0","10.0","37.0","131.5","81.0","42.0","39.0","3.0","39.0","99.0","80.0","19.0","46.0","40.0","6.0","53.0","40.0","13.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_新宮市_三輪崎","28.0","39.0","4.0","9.0","26.0","89.0","46.0","27.0","25.0","2.0","19.0","44.0","36.0","8.0","31.0","26.0","5.0","13.0","10.0","3.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_新宮市_新宮","13.0","12.0"," -","1.0","11.0","42.5","35.0","15.0","14.0","1.0","20.0","55.0","44.0","11.0","15.0","14.0","1.0","40.0","30.0","10.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_美浜町","57.0","77.0","9.0","9.0","59.0","229.9","63.0","51.0","51.0"," -","12.0","105.0","86.0","19.0","73.0","56.0","17.0","32.0","30.0","2.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_美浜町_三尾","29.0","32.0","1.0","4.0","27.0","96.9","24.0","24.0","24.0"," -"," -","45.0","29.0","16.0","45.0","29.0","16.0"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_美浜町_美浜町","28.0","45.0","8.0","5.0","32.0","133.0","39.0","27.0","27.0"," -","12.0","60.0","57.0","3.0","28.0","27.0","1.0","32.0","30.0","2.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_印南町","55.0","68.0","1.0","33.0","34.0","212.3","67.0","67.0","67.0"," -"," -","120.0","69.0","51.0","120.0","69.0","51.0"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_印南町","55.0","68.0","1.0","33.0","34.0","212.3","67.0","67.0","67.0"," -"," -","120.0","69.0","51.0","120.0","69.0","51.0"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_みなべ町","92.0","132.0","3.0","15.0","114.0","779.4","162.0","67.0","67.0"," -","95.0","228.0","121.0","107.0","122.0","92.0","30.0","106.0","29.0","77.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_みなべ町_南部町","92.0","132.0","3.0","15.0","114.0","779.4","162.0","67.0","67.0"," -","95.0","228.0","121.0","107.0","122.0","92.0","30.0","106.0","29.0","77.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_白浜町","95.0","133.0","1.0","29.0","103.0","447.0","132.0","100.0","95.0","5.0","32.0","127.0","114.0","13.0","111.0","98.0","13.0","16.0","16.0"," -","1.0"," -"," -","1.0"
"和歌山県（太平洋南区）_白浜町_堅田","1.0"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"
"和歌山県（太平洋南区）_白浜町_白浜","49.0","68.0","1.0","26.0","41.0","184.3","67.0","56.0","51.0","5.0","11.0","77.0","64.0","13.0","66.0","53.0","13.0","11.0","11.0"," -","1.0"," -"," -","1.0"
"和歌山県（太平洋南区）_白浜町_日置","45.0"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"
"和歌山県（太平洋南区）_すさみ町","88.0","98.0"," -","4.0","94.0","562.8","25.0","19.0","19.0"," -","6.0","168.0","92.0","76.0","162.0","86.0","76.0","6.0","6.0"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_すさみ町_すさみ","88.0","98.0"," -","4.0","94.0","562.8","25.0","19.0","19.0"," -","6.0","168.0","92.0","76.0","162.0","86.0","76.0","6.0","6.0"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_那智勝浦町","144.0","233.0"," -","84.0","149.0","515.4","170.0","148.0","144.0","4.0","22.0","236.0","195.0","41.0","192.0","151.0","41.0","44.0","44.0"," -","2.0"," -"," -","2.0"
"和歌山県（太平洋南区）_那智勝浦町_浦神","49.0","72.0"," -","32.0","40.0","129.2","60.0","60.0","56.0","4.0"," -","77.0","55.0","22.0","77.0","55.0","22.0"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_那智勝浦町_勝浦","47.0","79.0"," -","26.0","53.0","212.8","41.0","39.0","39.0"," -","2.0","73.0","71.0","2.0","49.0","47.0","2.0","24.0","24.0"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_那智勝浦町_那智","24.0","44.0"," -","24.0","20.0","39.2","24.0","24.0","24.0"," -"," -","25.0","25.0"," -","25.0","25.0"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_那智勝浦町_宇久井","24.0","38.0"," -","2.0","36.0","134.2","45.0","25.0","25.0"," -","20.0","61.0","44.0","17.0","41.0","24.0","17.0","20.0","20.0"," -","2.0"," -"," -","2.0"
"和歌山県（太平洋南区）_太地町","62.0","92.0"," -","29.0","63.0","295.5","102.0","52.0","52.0"," -","50.0","143.0","110.0","33.0","73.0","56.0","17.0","70.0","54.0","16.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_太地町_太地","62.0","92.0"," -","29.0","63.0","295.5","102.0","52.0","52.0"," -","50.0","143.0","110.0","33.0","73.0","56.0","17.0","70.0","54.0","16.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町","374.0","532.0","4.0","169.0","359.0","1562.4","411.0","291.0","284.0","7.0","120.0","615.0","439.0","176.0","492.0","368.0","124.0","123.0","71.0","52.0","3.0","2.0","2.0","1.0"
"和歌山県（太平洋南区）_串本町_串本","162.0","230.0","1.0","57.0","172.0","842.3","179.0","144.0","142.0","2.0","35.0","230.0","173.0","57.0","221.0","168.0","53.0","9.0","5.0","4.0","1.0"," -"," -","1.0"
"和歌山県（太平洋南区）_串本町_大島","45.0","66.0"," -","8.0","58.0","212.7","70.0","28.0","28.0"," -","42.0","55.0","51.0","4.0","37.0","37.0"," -","18.0","14.0","4.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_須江","31.0","49.0"," -","14.0","35.0","150.3","33.0","24.0","24.0"," -","9.0","52.0","33.0","19.0","42.0","29.0","13.0","10.0","4.0","6.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_樫野","21.0","34.0","2.0","18.0","14.0","54.0","30.0","4.0","4.0"," -","26.0","36.0","32.0","4.0","22.0","20.0","2.0","14.0","12.0","2.0"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_西向","22.0","23.0","1.0","6.0","16.0","58.5","7.0","6.0","6.0"," -","1.0","27.0","27.0"," -","22.0","22.0"," -","5.0","5.0"," -","2.0","2.0","2.0"," -"
"和歌山県（太平洋南区）_串本町_古座","43.0","62.0"," -","20.0","42.0","195.5","41.0","35.0","35.0"," -","6.0","75.0","47.0","28.0","72.0","44.0","28.0","3.0","3.0"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_津荷","16.0","13.0"," -","10.0","3.0","7.1","11.0","11.0","11.0"," -"," -","27.0","16.0","11.0","27.0","16.0","11.0"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_下田原","34.0","55.0"," -","36.0","19.0","42.0","40.0","39.0","34.0","5.0","1.0","113.0","60.0","53.0","49.0","32.0","17.0","64.0","28.0","36.0"," -"," -"," -"," -"
"全国","94507.0","152998.0","3779.0","67572.0","81647.0","612269.9","177728.0","95414.0","81181.0","14233.0","82314.0","253261.0","155993.0","97268.0","144582.0","97800.0","46782.0","108679.0","58193.0","50486.0","1649.0","615.0","439.0","1034.0"
